GEO_ID,NAME,,B08303_013E
13037,"Calhoun County, Georgia",,21
13193,"Macon County, Georgia",,55
13023,"Bleckley County, Georgia",,11
13021,"Bibb County, Georgia",,1202
13197,"Marion County, Georgia",,193
13249,"Schley County, Georgia",,47
13093,"Dooly County, Georgia",,58
13119,"Franklin County, Georgia",,138
13103,"Effingham County, Georgia",,401
13171,"Lamar County, Georgia",,254
13107,"Emanuel County, Georgia",,376
13239,"Quitman County, Georgia",,20
13159,"Jasper County, Georgia",,264
13167,"Johnson County, Georgia",,106
13179,"Liberty County, Georgia",,300
13205,"Mitchell County, Georgia",,138
13253,"Seminole County, Georgia",,36
13277,"Tift County, Georgia",,304
13289,"Twiggs County, Georgia",,75
13233,"Polk County, Georgia",,673
13263,"Talbot County, Georgia",,65
13269,"Taylor County, Georgia",,145
13273,"Terrell County, Georgia",,85
13275,"Thomas County, Georgia",,274
13279,"Toombs County, Georgia",,202
13319,"Wilkinson County, Georgia",,122
13017,"Ben Hill County, Georgia",,47
13033,"Burke County, Georgia",,238
13047,"Catoosa County, Georgia",,469
13053,"Chattahoochee County, Georgia",,27
13055,"Chattooga County, Georgia",,158
13073,"Columbia County, Georgia",,983
13087,"Decatur County, Georgia",,107
13115,"Floyd County, Georgia",,879
13117,"Forsyth County, Georgia",,4029
13137,"Habersham County, Georgia",,657
13185,"Lowndes County, Georgia",,1068
13199,"Meriwether County, Georgia",,468
13207,"Monroe County, Georgia",,412
13261,"Sumter County, Georgia",,255
13265,"Taliaferro County, Georgia",,35
13007,"Baker County, Georgia",,48
13035,"Butts County, Georgia",,336
13043,"Candler County, Georgia",,58
13045,"Carroll County, Georgia",,1348
13079,"Crawford County, Georgia",,80
13081,"Crisp County, Georgia",,105
13077,"Coweta County, Georgia",,2013
13067,"Cobb County, Georgia",,9907
13083,"Dade County, Georgia",,135
13297,"Walton County, Georgia",,1536
13027,"Brooks County, Georgia",,89
13091,"Dodge County, Georgia",,324
13105,"Elbert County, Georgia",,221
13113,"Fayette County, Georgia",,1613
13165,"Jenkins County, Georgia",,61
13217,"Newton County, Georgia",,1857
13227,"Pickens County, Georgia",,730
13071,"Colquitt County, Georgia",,297
13085,"Dawson County, Georgia",,363
13063,"Clayton County, Georgia",,4251
13139,"Hall County, Georgia",,2776
13149,"Heard County, Georgia",,428
13141,"Hancock County, Georgia",,75
13189,"McDuffie County, Georgia",,181
13211,"Morgan County, Georgia",,134
13095,"Dougherty County, Georgia",,524
13111,"Fannin County, Georgia",,476
13153,"Houston County, Georgia",,1029
13175,"Laurens County, Georgia",,433
13255,"Spalding County, Georgia",,721
13271,"Telfair County, Georgia",,46
13291,"Union County, Georgia",,543
13303,"Washington County, Georgia",,229
13311,"White County, Georgia",,460
13223,"Paulding County, Georgia",,4040
13231,"Pike County, Georgia",,280
13245,"Richmond County, Georgia",,1265
13267,"Tattnall County, Georgia",,201
13019,"Berrien County, Georgia",,171
13295,"Walker County, Georgia",,819
13135,"Gwinnett County, Georgia",,15192
13013,"Barrow County, Georgia",,1871
13049,"Charlton County, Georgia",,128
13065,"Clinch County, Georgia",,41
13015,"Bartow County, Georgia",,1391
13097,"Douglas County, Georgia",,2336
13131,"Grady County, Georgia",,177
13161,"Jeff Davis County, Georgia",,62
13209,"Montgomery County, Georgia",,77
13221,"Oglethorpe County, Georgia",,115
13243,"Randolph County, Georgia",,21
13247,"Rockdale County, Georgia",,1539
13299,"Ware County, Georgia",,381
13305,"Wayne County, Georgia",,342
13309,"Wheeler County, Georgia",,38
13315,"Wilcox County, Georgia",,74
13009,"Baldwin County, Georgia",,411
13031,"Bulloch County, Georgia",,693
13059,"Clarke County, Georgia",,1103
13101,"Echols County, Georgia",,7
13127,"Glynn County, Georgia",,481
13143,"Haralson County, Georgia",,1074
13163,"Jefferson County, Georgia",,118
13169,"Jones County, Georgia",,108
13213,"Murray County, Georgia",,417
13215,"Muscogee County, Georgia",,1475
13241,"Rabun County, Georgia",,100
13259,"Stewart County, Georgia",,27
13283,"Treutlen County, Georgia",,101
13155,"Irwin County, Georgia",,77
13003,"Atkinson County, Georgia",,89
13005,"Bacon County, Georgia",,77
13025,"Brantley County, Georgia",,114
13313,"Whitfield County, Georgia",,412
13285,"Troup County, Georgia",,770
13145,"Harris County, Georgia",,317
13321,"Worth County, Georgia",,138
13109,"Evans County, Georgia",,131
13307,"Webster County, Georgia",,39
13125,"Glascock County, Georgia",,58
13051,"Chatham County, Georgia",,1864
13173,"Lanier County, Georgia",,64
13195,"Madison County, Georgia",,377
13147,"Hart County, Georgia",,151
13191,"McIntosh County, Georgia",,76
13237,"Putnam County, Georgia",,288
13301,"Warren County, Georgia",,37
13029,"Bryan County, Georgia",,179
13039,"Camden County, Georgia",,282
13099,"Early County, Georgia",,17
13069,"Coffee County, Georgia",,296
13123,"Gilmer County, Georgia",,725
13317,"Wilkes County, Georgia",,205
13129,"Gordon County, Georgia",,678
13057,"Cherokee County, Georgia",,5541
13177,"Lee County, Georgia",,128
13133,"Greene County, Georgia",,273
13075,"Cook County, Georgia",,160
13121,"Fulton County, Georgia",,13986
13187,"Lumpkin County, Georgia",,468
13201,"Miller County, Georgia",,25
13219,"Oconee County, Georgia",,321
13151,"Henry County, Georgia",,4019
13183,"Long County, Georgia",,120
13257,"Stephens County, Georgia",,309
13293,"Upson County, Georgia",,319
13225,"Peach County, Georgia",,158
13229,"Pierce County, Georgia",,287
13251,"Screven County, Georgia",,254
13011,"Banks County, Georgia",,326
13061,"Clay County, Georgia",,21
13089,"DeKalb County, Georgia",,12497
13157,"Jackson County, Georgia",,979
13181,"Lincoln County, Georgia",,180
13001,"Appling County, Georgia",,283
13235,"Pulaski County, Georgia",,11
13281,"Towns County, Georgia",,89
13287,"Turner County, Georgia",,48